company_name	regorg	regidate	morregcno	priclasecam	change	public_date	status	cancel	guadetali	mortagee	priclasec	company_name	bbd_qyxx_id	bbd_unique_id
铜陵市旋力特殊钢有限公司	义安区市场监督管理局市场规范管理局	2016/1/12	5.6205E+13	18000		2016/1/12	有效		[{"owner":"旋力特殊钢公司","name":"机械设备","details":"在用，于工厂内存放。","remarks":}]	[{"morname":"厦门农村商业银行股份有限公司","morno":"其他","idno":"913502007841895767"}]	[{"period":"自2016年01月12日至2019年01月11日","amount":"18000万元","kind":"借款合同","range":"见抵押合同第四条","remarks":}]	铜陵市旋力特殊钢有限公司	419db442f8a0428ba547571db5c87d95	7553c7397f15dfb8b5e5b21b0d75389b
铜陵市旋力特殊钢有限公司	义安区市场监督管理局	2016/8/23	5.6202E+13	12000		2016/8/23	有效		[{"owner":"旋力特殊钢公司","name":"炼铁厂机械设备","details":"共计232种机械设备，状况良好，存放于炼铁厂","remarks":}]	[{"morname":"中国农业银行股份有限公司铜陵分行","morno":"其他","idno":"91340700851106874N"}]	[{"period":"自2016年08月23日至2017年08月22日","amount":"12000万元","kind":"借款合同","range":"见抵押合同第二条","remarks":}]	铜陵市旋力特殊钢有限公司	419db442f8a0428ba547571db5c87d95	2fe8b39cbf919666179079ad50cf4d1e
铜陵市旋力特殊钢有限公司	义安区市场监督管理局市场规范管理局	2015/9/9	5.6205E+13	10000		2015/9/9	有效		[{"owner":"旋力特殊钢公司","name":"机械设备","details":"在用设备，于公司生产车间。","remarks":}]	[{"morname":"中国农业银行股份有限公司铜陵县支行","morno":"其他","idno":"340721000009870"}]	[{"period":"自2015年09月08日至2016年09月08日","amount":"10000万元","kind":"借款合同","range":"见抵押合同第二条","remarks":}]	铜陵市旋力特殊钢有限公司	419db442f8a0428ba547571db5c87d95	3990cdefd00a31b33ccfb7fedb1b44ad
安徽滁州德威新材料有限公司	滁州市经济开发区工商分局	2015/3/24	5.5009E+14	8038		2015/3/24	有效		[{"owner":"安徽德威新材料有限公司","name":"KLPE混炼机系统等","details":"共两种机器，质量好、均存放在公司内","remarks":}]	[{"morname":"中国工商银行股份有限公司滁州琅琊支行","morno":"其他","idno":"34110000009745"}]	[{"period":"自2015年01月29日至2018年01月29日","amount":"8038万元","kind":"借款合同","range":"机器设备","remarks":}]	安徽滁州德威新材料有限公司	4eac1d697cfe46b29640ce7d3909440c	ad521742fb8aa0f42bb193f56d07b66a
铜陵市旋力特殊钢有限公司	义安区市场监督管理局市场规范管理局	2015/10/23	5.6205E+13	6600		2015/10/23	无效	[{"cancel_reason":"2","cancel_date":"2015年12月24日"}]	[{"owner":"旋力特殊钢公司","name":"机械设备","details":"运转维护良好，存放于公司实际经营场所内","remarks":}]	[{"morname":"天津滨海新区弘信博格融资租赁有限公司","morno":"其他","idno":"120116000317557"}]	[{"period":"自2015年10月23日至2018年10月23日","amount":"6600万元","kind":"借款合同","range":"见抵押合同第一条","remarks":}]	铜陵市旋力特殊钢有限公司	419db442f8a0428ba547571db5c87d95	8ae43a3340d5d59536fff7a589656ff6
安徽浙泰不锈钢集团有限公司	怀远县市场监督管理局	2016/3/30	5.5201E+13	5000		2016/3/30	有效		[{"owner":"安徽浙泰不锈钢集团有限公司","name":"检测系统","details":"1台 良好 良好 该公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"退火设备","details":"1台 良好 良好 该公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"打磨机","details":"1台 良好 良好 该公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"水压检测系统","details":"2台 良好 良好 该公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"冷床轧钢冷床","details":"1台 良好 良好 该公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"水冷系统","details":"2台 良好 良好 该公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"行车","details":"2台 良好 良好 该公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"压直机","details":"1台 良好 良好 该公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"煤气发生炉","details":"1台 良好 良好 该公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"固溶设备","details":"1台 良好 良好 该公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"钢锭模","details":"2台 良好 良好 该公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"涡流检测","details":"1台 良好 良好 该公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"起重机","details":"1台 良好 良好 该公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"中软包","details":"2台 良好 良好 该公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"轧钢设备","details":"1台 良好 良好 该公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"冶金起重机","details":"2台 良好 良好 该公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"轧辊","details":"1台 良好 良好 该公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"冷却系统","details":"1台 良好 良好 该公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"保温设施","details":"1台 良好 良好 该公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"炼钢35KV 变压设施","details":"4台 良好 良好 该公司院内","remarks":}]	[{"morname":"怀远县城市投资发展有限责任公司","morno":"其他","idno":"91340321743067388J"}]	[{"period":"自2015年12月10日至2018年11月25日","amount":"5000万元","kind":"借款合同","range":"主债权","remarks":}]	安徽浙泰不锈钢集团有限公司	4d0c6e9baaf24a8b8dbf701d2e8e487c	e306c50808d0f9ff4abf6ac38f54cc8e
铜陵市旋力特殊钢有限公司	义安区市场监督管理局市场规范管理局	2015/9/9	5.6205E+13	5000		2015/9/9	有效		[{"owner":"旋力特殊钢公司","name":"机械设备","details":"在用设备，于公司生产车间。","remarks":}]	[{"morname":"铜陵皖江农村商业银行股份有限公司永丰支行","morno":"其他","idno":"340721000004592"}]	[{"period":"自2015年09月09日至2017年09月09日","amount":"5000万元","kind":"借款合同","range":"见抵押合同第三条","remarks":}]	铜陵市旋力特殊钢有限公司	419db442f8a0428ba547571db5c87d95	943d9d78b6b2c3ef6d7f74f00b9c0df1
安徽金玉米农业科技开发有限公司	萧县市场监督管理局	2015/4/28	5.5706E+13	5000		2015/4/28	无效		[{"owner":"安徽金玉米农业科技开发有限公司","name":"机械设备","details":"正常使用","remarks":}]	[{"morname":"安徽萧县农村商业银行股份有限公司","morno":"其他","idno":"341322000001769"}]	[{"period":"自2015年04月28日至2016年03月29日","amount":"5000万元","kind":"借款合同","range":"主债权、利息、违约金等","remarks":}]	安徽金玉米农业科技开发有限公司	dbd19cb19a784b1fbf2f35d448de7c5a	40b36577bbac958a6bf4920e0c99e0b9
安徽麒翔林产品有限公司	萧县市场监督管理局	2015/2/15	5.5706E+13	4800	[{"序号":"1","变更日期":"2016年03月03日","变更内容":"合同履行时间变更2019年3月3日止，金额变更为6000万元。"},{"序号":"2","变更日期":"2016年03月03日","变更内容":"原贷款期限2015-02-13至2016-02-13展期为2016-03-03至2019-03-03.金额4800万元变更为6000万元"}]	2015/2/15	有效		[{"owner":"安徽麒翔林产品","name":"机械设备","details":"正常使用","remarks":}]	[{"morname":"绵阳市商业银行股份有限公司安县支行","morno":"其他","idno":"510724000001955"}]	[{"period":"自2015年02月13日至2016年02月13日","amount":"4800万元","kind":"借款合同","range":"主债权，利息，违约金。","remarks":}]	安徽麒翔林产品有限公司	f9b9a5e9044b4930bfab2f815930d86d	fd7676ce5102d00b5e163c653f6ad90e
安庆清怡精密纺有限责任公司	安庆市宜秀区市场监督管理局	2016/6/22	5.5614E+13	4500	[{"序号":"1","变更日期":"2016年09月26日","变更内容":"抵押期限变更为2016.6.22-12.31"}]	2016/6/22	有效		[{"owner":"安庆清怡精密纺有限责任公司","name":"机器设备","details":"460台套，良好，安庆清怡精密纺有限责任公司","remarks":}]	[{"morname":"安徽龙山凤水文化旅游发展有限责任公司","morno":"其他","idno":"340892000027730"}]	[{"period":"自2016年06月22日至2016年09月30日","amount":"4500万元","kind":"借款合同","range":"双方合同之约定","remarks":}]	安庆清怡精密纺有限责任公司	0c8a723f63ff4e08b0c801f37085ec15	cb556154e7d9b5957935060a614fcf26
安徽东方帝维生物制品股份有限公司	亳州市经济开发区工商分局	2016/1/7	5.58061E+13	4200		2016/1/7	有效		[{"owner":"安徽东方帝维生物制品股份有限公司","name":"设备","details":"详见抵押物清单","remarks":}]	[{"morname":"安徽中财租赁有限责任公司","morno":"其他","idno":"913416000907877669"}]	[{"period":"自2016年01月06日至2019年01月06日","amount":"4200万元","kind":"融资租赁合同","range":"主合同项下的租赁本金、利息、逾期利息、罚息、违约金、损害赔偿金等实现债权的一切费用","remarks":}]	安徽东方帝维生物制品股份有限公司	768aa0c335ed49188d49276684f0e7ed	5ae3fa1378bc6ac4a216b997b4ec65fa
乐凯特科技铜陵有限公司	铜陵市经济开发区市场监督管理局	2015/1/12	5.6204E+13	3700		2015/1/12	有效		[{"owner":"乐凯特科技铜陵有限公司","name":"清洁机等","details":"17台，良好，乐凯特科技铜陵有限公司内","remarks":},{"owner":"乐凯特科技铜陵有限公司","name":"铣床","details":"3台，良好，乐凯特科技铜陵有限公司内","remarks":},{"owner":"乐凯特科技铜陵有限公司","name":"烤箱","details":"2台，良好，乐凯特科技铜陵有限公司内","remarks":}]	[{"morname":"中国建设银行股份有限公司铜陵开发区支行","morno":,"idno":"340700000011575"}]	[{"period":"自2015年01月12日至2019年03月05日","amount":"3700万元","kind":"借款合同","range":"详见最高额抵押合同","remarks":}]	乐凯特科技铜陵有限公司	9217b0f81e4e4469ac0157598841724d	d4c946d0242ccedeb86a6664a477a831
